# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gemini-3-pro-preview
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 80
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions (preview): You are an expert braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth braille characters.  Here are two e...
#
# 200 items. Usage info: prompt=8485, candidates=11263, total=106540, time=97766ms, TPS=8680.280564680814.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></math>
✓ | ⠳⠉⠕⠎⠀⠷⠞⠾⠳⠀⠐⠅⠱⠀⠼⠂ | <math> <mrow> <mrow> <mo>|</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>|</mo> </mrow> <mo>≤</mo> <mn>1</mn> </mrow> </math> | <math> <mrow> <mrow> <mo>|</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>|</mo> </mrow> <mo>≤</mo> <mn>1</mn> </mrow> </math>
✓ | ⠼⠴ | <math> <mn>0</mn> </math> | <math> <mn>0</mn> </math>
✓ | ⠹⠨⠏⠌⠲⠼ | <math> <mfrac> <mi>π</mi> <mn>4</mn> </mfrac> </math> | <math> <mfrac> <mi>π</mi> <mn>4</mn> </mfrac> </math>
✓ | ⠠⠁⠀⠨⠅⠀⠠⠇⠠⠺ | <math> <mrow> <mi>A</mi> <mo>=</mo> <mrow> <mi>L</mi> <mo>⁣</mo> <mi>W</mi> </mrow> </mrow> </math> | <math> <mrow> <mi>A</mi> <mo>=</mo> <mrow> <mi>L</mi> <mo>⁣</mo> <mi>W</mi> </mrow> </mrow> </math>
✗ | ⠰⠃ | <math> <mi>b</mi> </math> | <math> <mi>B</mi> </math>
✓ | ⠊⠀⠨⠅⠀⠜⠤⠂⠻⠸⠲ | <math> <mrow> <mrow> <mi>i</mi> <mo>=</mo> <msqrt> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msqrt> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>i</mi> <mo>=</mo> <msqrt> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msqrt> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠷⠴⠠⠀⠴⠾ | <math> <mrow> <mo>(</mo> <mrow> <mn>0</mn> <mo>,</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mn>0</mn> <mo>,</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠭⠘⠆ | <math> <msup> <mi>x</mi> <mn>2</mn> </msup> </math> | <math> <msup> <mi>x</mi> <mn>2</mn> </msup> </math>
✗ | ⠼⠴⠯⠀⠨⠅⠀⠼⠂⠀⣍⠂⠯⠀⠨⠅⠀⠼⠂⠀⣍⠝⠯⠀⠨⠅⠀⠝⠷⠝⠤⠂⠾⠷⠝⠤⠆⠾⠄⠄⠄⠷⠆⠾⠷⠂⠾⠠⠀⠋⠕⠗⠀⠝⠀⠨⠂⠱⠀⠼⠆ | <math> <mtable> <mtr> <mtd> <mrow> <mrow> <mn>0</mn> <mo>!</mo> </mrow> <mo>=</mo> <mn>1</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mn>1</mn> <mo>!</mo> </mrow> <mo>=</mo> <mn>1</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mo>=</mo> <mrow> <mrow> <mi>n</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mi>⋯</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>, for </mi> <mo>⁢</mo> <mi>n</mi> </mrow> <mo>≥</mo> <mn>2</mn> </mrow> </mrow> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <mrow> <mn>0</mn> <mo>!</mo> </mrow> <mo>=</mo> <mn>1</mn> </mrow> <mo>,</mo> <mrow> <mrow> <mn>1</mn> <mo>!</mo> </mrow> <mo>=</mo> <mn>1</mn> </mrow> <mo>,</mo> <mrow> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mo>=</mo> <mrow> <mrow> <mi>n</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>…</mo> <mrow> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>for</mi> <mo>⁢</mo> <mi>n</mi> </mrow> <mo>≥</mo> <mn>2</mn> </mrow> </mrow> </math>
✗ | ⠁⠰⠝⠀⠨⠅⠀⠁⠂⠬⠙⠷⠝⠤⠂⠾ | <math> <mtable> <mtr> <mtd> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>=</mo> <mrow> <msub> <mi>a</mi> <mn>1</mn> </msub> <mo>+</mo> <mrow> <mi>d</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> </mtd> </mtr> </mtable> </math> | <math> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>=</mo> <mrow> <msub> <mi>a</mi> <mn>1</mn> </msub> <mo>+</mo> <mrow> <mi>d</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> </math>
✓ | ⠁⠰⠝⠀⠨⠅⠀⠗⠁⠰⠝⠤⠂⠠⠀⠝⠀⠨⠂⠱⠀⠼⠆ | <math> <mrow> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>=</mo> <mrow> <mi>r</mi> <mo>⁢</mo> <msub> <mi>a</mi> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> </msub> </mrow> </mrow> <mo>,</mo> <mrow> <mi>n</mi> <mo>≥</mo> <mn>2</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>=</mo> <mrow> <mi>r</mi> <mo>⁢</mo> <msub> <mi>a</mi> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> </msub> </mrow> </mrow> <mo>,</mo> <mrow> <mi>n</mi> <mo>≥</mo> <mn>2</mn> </mrow> </mrow> </math>
✗ | ⠰⠝ | <math> <mi>n</mi> </math> | <math> <mmultiscripts> <msub> <mi> </mi> <mi>n</mi> </msub> </mmultiscripts> </math>
✓ | ⠠⠎⠰⠝⠀⠨⠅⠀⠹⠁⠂⠷⠂⠤⠗⠘⠝⠐⠾⠌⠂⠤⠗⠼⠠⠀⠗⠀⠌⠨⠅⠀⠼⠂ | <math> <mrow> <mrow> <msub> <mi>S</mi> <mi>n</mi> </msub> <mo>=</mo> <mfrac> <mrow> <msub> <mi>a</mi> <mn>1</mn> </msub> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mn>1</mn> <mo>-</mo> <msup> <mi>r</mi> <mi>n</mi> </msup> </mrow> <mo>)</mo> </mrow> </mrow> <mrow> <mn>1</mn> <mo>-</mo> <mi>r</mi> </mrow> </mfrac> </mrow> <mo>,</mo> <mrow> <mi>r</mi> <mo>≠</mo> <mn>1</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>S</mi> <mi>n</mi> </msub> <mo>=</mo> <mfrac> <mrow> <msub> <mi>a</mi> <mn>1</mn> </msub> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mn>1</mn> <mo>-</mo> <msup> <mi>r</mi> <mi>n</mi> </msup> </mrow> <mo>)</mo> </mrow> </mrow> <mrow> <mn>1</mn> <mo>-</mo> <mi>r</mi> </mrow> </mfrac> </mrow> <mo>,</mo> <mrow> <mi>r</mi> <mo>≠</mo> <mn>1</mn> </mrow> </mrow> </math>
✓ | ⠠⠎⠰⠝⠀⠨⠅⠀⠹⠁⠂⠌⠂⠤⠗⠼⠠⠀⠗⠀⠌⠨⠅⠀⠼⠂ | <math> <mrow> <mrow> <msub> <mi>S</mi> <mi>n</mi> </msub> <mo>=</mo> <mfrac> <msub> <mi>a</mi> <mn>1</mn> </msub> <mrow> <mn>1</mn> <mo>-</mo> <mi>r</mi> </mrow> </mfrac> </mrow> <mo>,</mo> <mrow> <mi>r</mi> <mo>≠</mo> <mn>1</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>S</mi> <mi>n</mi> </msub> <mo>=</mo> <mfrac> <msub> <mi>a</mi> <mn>1</mn> </msub> <mrow> <mn>1</mn> <mo>-</mo> <mi>r</mi> </mrow> </mfrac> </mrow> <mo>,</mo> <mrow> <mi>r</mi> <mo>≠</mo> <mn>1</mn> </mrow> </mrow> </math>
✗ | ⠠⠏⠷⠝⠠⠀⠗⠾⠀⠨⠅⠀⠹⠝⠯⠌⠷⠝⠤⠗⠾⠯⠼ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>,</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mo>!</mo> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>P</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>,</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mo>!</mo> </mrow> </mfrac> </mrow> </math>
✗ | ⠹⠝⠯⠌⠗⠂⠯⠗⠆⠯⠀⠄⠄⠄⠀⠗⠰⠅⠐⠯⠼ | <math> <mfrac> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mrow> <msub> <mi>r</mi> <mn>1</mn> </msub> <mo>⁢</mo> <mrow> <mo>!</mo> <mrow> <msub> <mi>r</mi> <mn>2</mn> </msub> <mo>⁢</mo> <mrow> <mo>!</mo> <mrow> <mi>…</mi> <mo>⁢</mo> <mrow> <msub> <mi>r</mi> <mi>k</mi> </msub> <mo>!</mo> </mrow> </mrow> </mrow> </mrow> </mrow> </mrow> </mfrac> </math> | <math> <mrow> <mfrac> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mrow> <mi>r</mi> <mo>⁢</mo> <mrow> <mo>!</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mo>!</mo> </mrow> </mrow> </mrow> </mfrac> <mo>…</mo> <mrow> <mi>n</mi> <mo>⁢</mo> <mi>C</mi> <mo>⁢</mo> <mi>r</mi> </mrow> </mrow> </math>
✗ | ⠷⠗⠬⠂⠾⠞⠓ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>r</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>t</mi> <mo>⁢</mo> <mi>h</mi> </mrow> </math> | <math> <msup> <mrow> <mo>(</mo> <mrow> <mi>r</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mi>th</mi> </msup> </math>
✓ | ⠠⠏⠷⠠⠑⠾⠀⠨⠅⠀⠹⠝⠷⠠⠑⠾⠌⠝⠷⠠⠎⠾⠼ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>n</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>n</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>S</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>n</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>n</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>S</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math>
✓ | ⠠⠏⠷⠠⠑⠨⠬⠠⠋⠾⠀⠨⠅⠀⠠⠏⠷⠠⠑⠾⠬⠠⠏⠷⠠⠋⠾ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>E</mi> <mo>∪</mo> <mi>F</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>F</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>P</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>E</mi> <mo>∪</mo> <mi>F</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>F</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> </math>
✓ | ⠭⠀⠨⠅⠀⠹⠤⠃⠬⠤⠜⠃⠘⠆⠐⠤⠲⠁⠉⠻⠌⠆⠁⠼ | <math> <mrow> <mi>x</mi> <mo>=</mo> <mfrac> <mrow> <mrow> <mo>-</mo> <mi>b</mi> </mrow> <mo>±</mo> <msqrt> <mrow> <msup> <mi>b</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>a</mi> <mo>⁢</mo> <mi>c</mi> </mrow> </mrow> </msqrt> </mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>a</mi> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mfrac> <mrow> <mrow> <mo>-</mo> <mi>b</mi> </mrow> <mo>±</mo> <msqrt> <mrow> <msup> <mi>b</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>a</mi> <mo>⁢</mo> <mi>c</mi> </mrow> </mrow> </msqrt> </mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>a</mi> </mrow> </mfrac> </mrow> </math>
✓ | ⠽⠤ | <math> <mrow> <mi>y</mi> <mo>-</mo> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>-</mo> </mrow> </math>
✓ | ⠋⠷⠁⠾⠀⠁⠝⠙⠀⠋⠷⠃⠾ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>a</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mi>and</mi> <mo>⁢</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>b</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>a</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mi>and</mi> <mo>⁢</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>b</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠰⠁ | <math> <mi>a</mi> </math> | <math> <mi>a</mi> </math>
✓ | ⠭⠤⠅⠸⠲ | <math> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mi>k</mi> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mi>k</mi> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠋⠷⠭⠾ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠷⠭⠤⠅⠾ | <math> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>k</mi> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>k</mi> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠷⠭⠤⠉⠾⠠ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>c</mi> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>c</mi> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠼ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>1</mn> <mi>x</mi> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>1</mn> <mi>x</mi> </mfrac> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠭⠂⠠⠀⠭⠆⠠⠀⠄⠄⠄⠠⠀⠭⠰⠝⠠ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> <mo>,</mo> <msub> <mi>x</mi> <mn>2</mn> </msub> <mo>,</mo> <mi>…</mi> <mo>,</mo> <msub> <mi>x</mi> <mi>n</mi> </msub> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> <mo>,</mo> <msub> <mi>x</mi> <mn>2</mn> </msub> <mo>,</mo> <mo>…</mo> <mo>,</mo> <msub> <mi>x</mi> <mi>n</mi> </msub> <mo>,</mo> </mrow> </math>
✗ | ⠭⠰⠊⠀⠨⠅⠀⠁⠝⠽⠀⠧⠰⠚⠠ | <math> <mrow> <mrow> <msub> <mi>x</mi> <mi>i</mi> </msub> <mo>=</mo> <mrow> <mi>any </mi> <mo>⁢</mo> <msub> <mi>v</mi> <mi>j</mi> </msub> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>x</mi> <mi>i</mi> </msub> <mo>=</mo> <mrow> <mi>any</mi> <mo>⁢</mo> <msub> <mi>v</mi> <mi>j</mi> </msub> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠋⠘⠤⠂ | <math> <msup> <mi>f</mi> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msup> </math> | <math> <msup> <mi>f</mi> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msup> </math>
✓ | ⠰⠋ | <math> <mi>f</mi> </math> | <math> <mi>f</mi> </math>
✓ | ⠰⠭⠠ | <math> <mrow> <mi>x</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>,</mo> </mrow> </math>
✓ | ⠰⠭ | <math> <mi>x</mi> </math> | <math> <mi>x</mi> </math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠢⠠⠴⠴⠴⠭⠤⠴⠨⠂⠭⠘⠆⠐⠬⠂⠴⠴⠴⠌⠭⠼ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mrow> <mn>15,000</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mrow> <mn>0.1</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>1000</mn> </mrow> <mi>x</mi> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mrow> <mn>15,000</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mrow> <mn>0.1</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>1,000</mn> </mrow> <mi>x</mi> </mfrac> </mrow> </math>
✗ | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠤⠠⠿⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>–</mo> <mi>∞</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠭⠀⠐⠅⠀⠁ | <math> <mrow> <mi>x</mi> <mo>&lt;</mo> <mi>a</mi> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>→</mo> <mi>a</mi> </mrow> </math>
✗ | ⠭⠀⠨⠂⠀⠁ | <math> <mrow> <mi>x</mi> <mo>&gt;</mo> <mi>a</mi> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>→</mo> <mi>a</mi> </mrow> </math>
✓ | ⠭⠀⠫⠕⠀⠤⠠⠿ | <math> <mrow> <mi>x</mi> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠼⠴⠸⠆ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>;</mo> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <msup> <mn>0</mn> <mn>2</mn> </msup> </mrow> </math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠼⠴⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <msup> <mn>0</mn> <mo>+</mo> </msup> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mi>As</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <msup> <mn>0</mn> <mo>+</mo> </msup> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math>
