# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gemini-2.5-flash
#   API Key: GEMINI_API_KEY
#   Batch Size: 80
#   Number of Examples: 1012
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions (preview): You are an expert braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth braille characters.  Here are two e...
#
# 200 items. Usage info: prompt=348523, candidates=12629, total=393595, time=48127ms, TPS=3810.8322115765304.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math>
✓ | ⠎⠑⠉⠀⠷⠞⠾⠠ | <math> <mrow> <mrow> <mi>sec</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>sec</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠎⠊⠝⠀⠷⠞⠾⠀⠌⠨⠅⠀⠼⠴⠠ | <math> <mrow> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>≠</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>≠</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠉⠎⠉⠀⠷⠞⠾⠀⠨⠅⠀⠹⠂⠌⠎⠊⠝⠀⠷⠞⠾⠼⠸⠲ | <math><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></mfrac><mtext>.</mtext></mrow></math> | <--bad MathML--><math><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy=\"false\">(</mo><mi>t</mi><mo stretchy=\"false\">)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>sin</mi><mo data-mjx-texclass=\"NONE\">⁡</mo><mo stretchy=\"false\">(</mo><mi>t</mi><mo stretchy=\"false\">)</mo></mrow></mfrac><mo>.</mo></mrow></math>
✗ | ⠉⠕⠞⠀⠷⠞⠾⠀⠨⠅⠀⠹⠉⠕⠎⠀⠷⠞⠾⠌⠎⠊⠝⠀⠷⠞⠾⠼⠸⠲ | <math><mrow><mi>cot</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></mfrac><mtext>.</mtext></mrow></math> | <--bad MathML--><math><mrow><mi>cot</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy=\"false\">(</mo><mi>t</mi><mo stretchy=\"false\">)</mo><mo>=</mo><mfrac><mrow><mi>cos</mi><mo data-mjx-texclass=\"NONE\">⁡</mo><mo stretchy=\"false\">(</mo><mi>t</mi><mo stretchy=\"false\">)</mo></mrow><mrow><mi>sin</mi><mo data-mjx-texclass=\"NONE\">⁡</mo><mo stretchy=\"false\">(</mo><mi>t</mi><mo stretchy=\"false\">)</mo></mrow></mfrac><mo>.</mo></mrow></math>
✗ | ⠎⠊⠝⠀⠷⠨⠹⠾⠠ | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <--bad MathML--><math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy=\"false\">(</mo><mi>θ</mi><mo stretchy=\"false\">)</mo><mo>,</mo></mrow></math>
✗ | ⠞⠁⠝⠀⠷⠨⠹⠾ | <math><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo></mrow></math> | <--bad MathML--><math><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy=\"false">(</mo><mi>θ</mi><mo stretchy=\"false\">)</mo></mrow></math>
✓ | ⠨⠹⠸⠲ | <math> <mrow> <mi>θ</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>θ</mi> <mo>.</mo> </mrow> </math>
✓ | ⠨⠁ | <math> <mi>α</mi> </math> | <math> <mi>α</mi> </math>
✗ | ⠉⠎⠉⠀⠷⠨⠁⠾⠀⠨⠅⠀⠹⠢⠌⠒⠼⠠ | <math><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>5</mn><mn>3</mn></mfrac><mtext>,</mtext></mrow></math> | <--bad MathML--><math><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy=\"false\">(</mo><mi>α</mi><mo stretchy=\"false\">)</mo><mo>=</mo><mfrac><mn>5</mn><mn>3</mn></mfrac><mo>,</mo></mrow></math>
✓ | ⠼⠢⠠ | <math> <mrow> <mn>5</mn> <mo>,</mo> </mrow> </math> | <math> <mrow> <mn>5</mn> <mo>,</mo> </mrow> </math>
✓ | ⠼⠲⠠ | <math> <mrow> <mn>4</mn> <mo>,</mo> </mrow> </math> | <math> <mrow> <mn>4</mn> <mo>,</mo> </mrow> </math>
✗ | ⠎⠊⠝⠀⠷⠨⠁⠾⠀⠨⠅⠀⠹⠒⠌⠢⠼ | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>3</mn><mn>5</mn></mfrac></mrow></math> | <--bad MathML--><math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy=\"false\">(</mo><mi>α</mi><mo stretchy=\"false\">)</mo><mo>=</mo><mfrac><mn>3</mn><mn>5</mn></mfrac></mrow></math>
✓ | ⠹⠒⠌⠢⠼⠸⠲ | <math> <mrow> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> <mo>.</mo> </mrow> </math> | <math> <mrow> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> <mo>.</mo> </mrow> </math>
✓ | ⠹⠜⠆⠻⠌⠆⠼⠠ | <math> <mrow> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> <mo>,</mo> </mrow> </math> | <math> <mrow> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> <mo>,</mo> </mrow> </math>
✓ | ⠨⠃ | <math> <mi>β</mi> </math> | <math> <mi>β</mi> </math>
✓ | ⠨⠃⠸⠲ | <math> <mrow> <mi>β</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>β</mi> <mo>.</mo> </mrow> </math>
✗ | ⠉⠕⠎⠀⠷⠞⠾⠀⠨⠅⠀⠼⠴⠠ | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>,</mtext></mrow></math> | <--bad MathML--><math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy=\"false\">(</mo><mi>t</mi><mo stretchy=\"false">)</mo><mo>=</mo><mn>0</mn><mo>,</mo></mrow></math>
✗ | ⠳⠉⠕⠎⠀⠷⠞⠾⠳⠀⠐⠅⠱⠀⠼⠂ | <math><mrow><mo stretchy="false">|</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo stretchy="false">|</mo><mo>≤</mo><mn>1</mn></mrow></math> | <--bad MathML--><math><mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">|</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy=\"false\">(</mo><mi>t</mi><mo stretchy=\"false">)</mo><mo data-mjx-texclass="CLOSE\">|</mo></mrow><mo>≤</mo><mn>1</mn></mrow></math>
✓ | ⠼⠴ | <math> <mn>0</mn> </math> | <math> <mn>0</mn> </math>
✗ | ⠹⠨⠏⠌⠲⠼ | <math> <mfrac> <mi>π</mi> <mn>4</mn> </mfrac> </math> | <math> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </math>
✗ | ⠠⠁⠀⠨⠅⠀⠠⠇⠠⠺ | <math> <mrow> <mi>A</mi> <mo>=</mo> <mrow> <mi>L</mi> <mo>⁣</mo> <mi>W</mi> </mrow> </mrow> </math> | <math> <mrow> <mi>A</mi> <mo>=</mo> <mi>LW</mi> </mrow> </math>
✓ | ⠰⠃ | <math> <mi>b</mi> </math> | <math> <mi>b</mi> </math>
✓ | ⠊⠀⠨⠅⠀⠜⠤⠂⠻⠸⠲ | <math> <mrow> <mrow> <mi>i</mi> <mo>=</mo> <msqrt> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msqrt> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>i</mi> <mo>=</mo> <msqrt> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msqrt> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠷⠴⠠⠀⠴⠾ | <math> <mrow> <mo>(</mo> <mrow> <mn>0</mn> <mo>,</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mn>0</mn> <mo>,</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠭⠘⠆ | <math> <msup> <mi>x</mi> <mn>2</mn> </msup> </math> | <math> <msup> <mi>x</mi> <mn>2</mn> </msup> </math>
✗ | ⠼⠴⠯⠀⠨⠅⠀⠼⠂⠀⣍⠂⠯⠀⠨⠅⠀⠼⠂⠀⣍⠝⠯⠀⠨⠅⠀⠝⠷⠝⠤⠂⠾⠷⠝⠤⠆⠾⠄⠄⠄⠷⠆⠾⠷⠂⠾⠠⠀⠋⠕⠗⠀⠝⠀⠨⠂⠱⠀⠼⠆ | <math><mtable columnalign="left"><mtr><mtd><mrow><mn>0</mn><mo>!</mo><mo>=</mo><mn>1</mn></mrow></mtd></mtr><mtr><mtd><mrow><mn>1</mn><mo>!</mo><mo>=</mo><mn>1</mn></mrow></mtd></mtr><mtr><mtd><mrow><mi>n</mi><mo>!</mo><mo>=</mo><mi>n</mi><mrow><mo>(</mo><mrow><mi>n</mi><mo>−</mo><mn>1</mn></mrow><mo>)</mo></mrow><mrow><mo>(</mo><mrow><mi>n</mi><mo>−</mo><mn>2</mn></mrow><mo>)</mo></mrow><mo>⋯</mo><mrow><mo>(</mo><mn>2</mn><mo>)</mo></mrow><mrow><mo>(</mo><mn>1</mn><mo>)</mo></mrow><mtext>, for </mtext><mi>n</mi><mo>≥</mo><mn>2</mn></mrow></mtd></mtr></mtable></math> | <--bad MathML--><math><mrow><mn>0</mn><mo>!</mo><mo>=</mo><mn>1</mn><mo>;</mo><mn>1</mn><mo>!</mo><mo>=</mo><mn>1</mn><mo>;</mo><mi>n</mi><mo>!</mo><mo>=</mo><mi>n</mi><mo stretchy=\"false\">(</mo><mi>n</mi><mo>−</mo><mn>1</mn><mo stretchy=\"false\">)</mo><mo stretchy=\"false\">(</mo><mi>n</mi><mo>−</mo><mn>2</mn><mo stretchy=\"false">)</mo><mo>⋯</mo><mo stretchy=\"false\">(</mo><mn>2</mn><mo stretchy=\"false">)</mo><mo stretchy=\"false">(</mo><mn>1</mn><mo stretchy=\"false\">)</mo><mo>,</mo><mtext> for </mtext><mi>n</mi><mo>≥</mo><mn>2</mn></mrow></math>
✗ | ⠁⠰⠝⠀⠨⠅⠀⠁⠂⠬⠙⠷⠝⠤⠂⠾ | <math><mtable columnalign="left"><mtr><mtd><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><msub><mi>a</mi><mn>1</mn></msub><mo>+</mo><mi>d</mi><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></mtd></mtr></mtable></math> | <--bad MathML--><math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><msub><mi>a</mi><mn>1</mn></msub><mo>+</mo><mi>d</mi><mo stretchy=\"false\">(</mo><mi>n</mi><mo>−</mo><mn>1</mn><mo stretchy=\"false">)</mo></mrow></math>
✓ | ⠁⠰⠝⠀⠨⠅⠀⠗⠁⠰⠝⠤⠂⠠⠀⠝⠀⠨⠂⠱⠀⠼⠆ | <math> <mrow> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>=</mo> <mrow> <mi>r</mi> <mo>⁢</mo> <msub> <mi>a</mi> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> </msub> </mrow> </mrow> <mo>,</mo> <mrow> <mi>n</mi> <mo>≥</mo> <mn>2</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>=</mo> <mrow> <mi>r</mi> <mo>⁢</mo> <msub> <mi>a</mi> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> </msub> </mrow> </mrow> <mo>,</mo> <mrow> <mi>n</mi> <mo>≥</mo> <mn>2</mn> </mrow> </mrow> </math>
✓ | ⠰⠝ | <math> <mi>n</mi> </math> | <math> <mi>n</mi> </math>
✗ | ⠠⠎⠰⠝⠀⠨⠅⠀⠹⠁⠂⠷⠂⠤⠗⠘⠝⠐⠾⠌⠂⠤⠗⠼⠠⠀⠗⠀⠌⠨⠅⠀⠼⠂ | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><mrow><msub><mi>a</mi><mn>1</mn></msub><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><msup><mi>r</mi><mi>n</mi></msup><mo stretchy="false">)</mo></mrow><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></mrow></math> | <--bad MathML--><math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><mrow><msub><mi>a</mi><mn>1</mn></msub><mo stretchy=\"false\">(</mo><mn>1</mn><mo>−</mo><msup><mi>r</mi><mi>n</mi></msup><mo stretchy=\"false\">)</mo></mrow><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mtext> </mtext><mi>r</mi><mo>≠</mo><mn>1</mn></mrow></math>
✓ | ⠠⠎⠰⠝⠀⠨⠅⠀⠹⠁⠂⠌⠂⠤⠗⠼⠠⠀⠗⠀⠌⠨⠅⠀⠼⠂ | <math> <mrow> <mrow> <msub> <mi>S</mi> <mi>n</mi> </msub> <mo>=</mo> <mfrac> <msub> <mi>a</mi> <mn>1</mn> </msub> <mrow> <mn>1</mn> <mo>-</mo> <mi>r</mi> </mrow> </mfrac> </mrow> <mo>,</mo> <mrow> <mi>r</mi> <mo>≠</mo> <mn>1</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>S</mi> <mi>n</mi> </msub> <mo>=</mo> <mfrac> <msub> <mi>a</mi> <mn>1</mn> </msub> <mrow> <mn>1</mn> <mo>-</mo> <mi>r</mi> </mrow> </mfrac> </mrow> <mo>,</mo> <mrow> <mi>r</mi> <mo>≠</mo> <mn>1</mn> </mrow> </mrow> </math>
✗ | ⠠⠏⠷⠝⠠⠀⠗⠾⠀⠨⠅⠀⠹⠝⠯⠌⠷⠝⠤⠗⠾⠯⠼ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>n</mi><mo>,</mo><mi>r</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mi>r</mi><mo stretchy="false">)</mo><mo>!</mo></mrow></mfrac></mrow></math> | <--bad MathML--><math><mrow><mi>P</mi><mo stretchy=\"false\">(</mo><mi>n</mi><mo>,</mo><mi>r</mi><mo stretchy=\"false\">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><mo stretchy=\"false\">(</mo><mi>n</mi><mo>−</mo><mi>r</mi><mo stretchy=\"false">)</mo><mo>!</mo></mrow></mfrac></mrow></math>
✗ | ⠹⠝⠯⠌⠗⠂⠯⠗⠆⠯⠀⠄⠄⠄⠀⠗⠰⠅⠐⠯⠼ | <math> <mfrac> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mrow> <msub> <mi>r</mi> <mn>1</mn> </msub> <mo>⁢</mo> <mrow> <mo>!</mo> <mrow> <msub> <mi>r</mi> <mn>2</mn> </msub> <mo>⁢</mo> <mrow> <mo>!</mo> <mrow> <mi>…</mi> <mo>⁢</mo> <mrow> <msub> <mi>r</mi> <mi>k</mi> </msub> <mo>!</mo> </mrow> </mrow> </mrow> </mrow> </mrow> </mrow> </mfrac> </math> | <math> <mfrac> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mrow> <msub> <mi>r</mi> <mn>1</mn> </msub> <mo>⁢</mo> <mrow> <mo>!</mo> <mrow> <msub> <mi>r</mi> <mn>2</mn> </msub> <mo>⁢</mo> <mrow> <mo>!</mo> <mrow> <mi>⋯</mi> <mo>⁢</mo> <mrow> <msub> <mi>r</mi> <mi>k</mi> </msub> <mo>!</mo> </mrow> </mrow> </mrow> </mrow> </mrow> </mrow> </mfrac> </math>
✗ | ⠷⠗⠬⠂⠾⠞⠓ | <math><mrow><mo stretchy="false">(</mo><mi>r</mi><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo><mi>t</mi><mi>h</mi></mrow></math> | <--bad MathML--><math><mrow><mo stretchy="false">(</mo><mi>r</mi><mo>+</mo><mn>1</mn><mo stretchy=\"false">)</mo><mtext>th</mtext></mrow></math>
✗ | ⠠⠏⠷⠠⠑⠾⠀⠨⠅⠀⠹⠝⠷⠠⠑⠾⠌⠝⠷⠠⠎⠾⠼ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo></mrow><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>S</mi><mo stretchy="false">)</mo></mrow></mfrac></mrow></math> | <--bad MathML--><math><mrow><mi>P</mi><mo stretchy=\"false\">(</mo><mi>E</mi><mo stretchy=\"false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo stretchy=\"false\">(</mo><mi>E</mi><mo stretchy=\"false">)</mo></mrow><mrow><mi>n</mi><mo stretchy=\"false(</mo><mi>S</mi><mo stretchy=\"false">)</mo></mrow></mfrac></mrow></math>
✗ | ⠠⠏⠷⠠⠑⠨⠬⠠⠋⠾⠀⠨⠅⠀⠠⠏⠷⠠⠑⠾⠬⠠⠏⠷⠠⠋⠾ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo>∪</mo><mi>F</mi><mo stretchy="false">)</mo><mo>=</mo><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>+</mo><mi>P</mi><mo stretchy="false">(</mo><mi>F</mi><mo stretchy="false">)</mo></mrow></math> | <--bad MathML--><math><mrow><mi>P</mi><mo stretchy=\"false">(</mo><mi>E</mi><mo>∪</mo><mi>F</mi><mo stretchy=\"false">)</mo><mo>=</mo><mi>P</mi><mo stretchy=\"false(</mo><mi>E</mi><mo stretchy=\"false">)</mo><mo>+</mo><mi>P</mi><mo stretchy=\"false(</mo><mi>F</mi><mo stretchy=\"false">)</mo></mrow></math>
✓ | ⠭⠀⠨⠅⠀⠹⠤⠃⠬⠤⠜⠃⠘⠆⠐⠤⠲⠁⠉⠻⠌⠆⠁⠼ | <math> <mrow> <mi>x</mi> <mo>=</mo> <mfrac> <mrow> <mrow> <mo>-</mo> <mi>b</mi> </mrow> <mo>±</mo> <msqrt> <mrow> <msup> <mi>b</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>a</mi> <mo>⁢</mo> <mi>c</mi> </mrow> </mrow> </msqrt> </mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>a</mi> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mfrac> <mrow> <mrow> <mo>-</mo> <mi>b</mi> </mrow> <mo>±</mo> <msqrt> <mrow> <msup> <mi>b</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>a</mi> <mo>⁢</mo> <mi>c</mi> </mrow> </mrow> </msqrt> </mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>a</mi> </mrow> </mfrac> </mrow> </math>
✓ | ⠽⠤ | <math> <mrow> <mi>y</mi> <mo>-</mo> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>-</mo> </mrow> </math>
✗ | ⠋⠷⠁⠾⠀⠁⠝⠙⠀⠋⠷⠃⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>a</mi><mo stretchy="false">)</mo><mo> </mo><mtext>and</mtext><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>b</mi><mo stretchy="false">)</mo></mrow></math> | <--bad MathML--><math><mrow><mi>f</mi><mo stretchy=\"false(</mo><mi>a</mi><mo stretchy=\"false">)</mo><mtext> and </mtext><mi>f</mi><mo stretchy=\"false(</mo><mi>b</mi><mo stretchy=\"false">)</mo></mrow></math>
✓ | ⠰⠁ | <math> <mi>a</mi> </math> | <math> <mi>a</mi> </math>
✓ | ⠭⠤⠅⠸⠲ | <math> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mi>k</mi> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mi>k</mi> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <--bad MathML--><math><mrow><mi>f</mi><mo stretchy=\"false(</mo><mi>x</mi><mo stretchy=\"false">)</mo></mrow></math>
✗ | ⠷⠭⠤⠅⠾ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>k</mi><mo stretchy="false">)</mo></mrow></math> | <--bad MathML--><math><mrow><mo stretchy=\"false(</mo><mi>x</mi><mo>−</mo><mi>k</mi><mo stretchy=\"false">)</mo></mrow></math>
✗ | ⠷⠭⠤⠉⠾⠠ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>c</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></math> | <--bad MathML--><math><mrow><mo stretchy=\"false(</mo><mi>x</mi><mo>−</mo><mi>c</mi><mo stretchy=\"false">)</mo><mo>,</mo></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠼ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mi>x</mi></mfrac></mrow></math> | <--bad MathML--><math><mrow><mi>f</mi><mo stretchy=\"false(</mo><mi>x</mi><mo stretchy=\"false">)</mo><mo>=</mo><mfrac><mn>1</mn><mi>x</mi></mfrac></mrow></math>
✓ | ⠭⠀⠨⠅⠀⠭⠂⠠⠀⠭⠆⠠⠀⠄⠄⠄⠠⠀⠭⠰⠝⠠ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> <mo>,</mo> <msub> <mi>x</mi> <mn>2</mn> </msub> <mo>,</mo> <mi>…</mi> <mo>,</mo> <msub> <mi>x</mi> <mi>n</mi> </msub> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> <mo>,</mo> <msub> <mi>x</mi> <mn>2</mn> </msub> <mo>,</mo> <mi>…</mi> <mo>,</mo> <msub> <mi>x</mi> <mi>n</mi> </msub> <mo>,</mo> </mrow> </math>
✓ | ⠭⠰⠊⠀⠨⠅⠀⠁⠝⠽⠀⠧⠰⠚⠠ | <math> <mrow> <mrow> <msub> <mi>x</mi> <mi>i</mi> </msub> <mo>=</mo> <mrow> <mi>any </mi> <mo>⁢</mo> <msub> <mi>v</mi> <mi>j</mi> </msub> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>x</mi> <mi>i</mi> </msub> <mo>=</mo> <mrow> <mi>any </mi> <mo>⁢</mo> <msub> <mi>v</mi> <mi>j</mi> </msub> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠋⠘⠤⠂ | <math> <msup> <mi>f</mi> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msup> </math> | <math> <msup> <mi>f</mi> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msup> </math>
✓ | ⠰⠋ | <math> <mi>f</mi> </math> | <math> <mi>f</mi> </math>
✓ | ⠰⠭⠠ | <math> <mrow> <mi>x</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>,</mo> </mrow> </math>
✓ | ⠰⠭ | <math> <mi>x</mi> </math> | <math> <mi>x</mi> </math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠢⠠⠴⠴⠴⠭⠤⠴⠨⠂⠭⠘⠆⠐⠬⠂⠴⠴⠴⠌⠭⠼ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>15,000</mn><mi>x</mi><mo>−</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1000</mn></mrow><mi>x</mi></mfrac></mrow></math> | <--bad MathML--><math><mrow><mi>f</mi><mo stretchy=\"false(</mo><mi>x</mi><mo stretchy=\"false">)</mo><mo>=</mo><mfrac><mrow><mn>15000</mn><mi>x</mi><mo>−</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1000</mn></mrow><mi>x</mi></mfrac></mrow></math>
